"source_peptide","target","group","fold","fraction_true","pred_mean","pred_median","n_peptide","n_pos","pred_min","pred_max","longest_pos","n_pos_10","frac_0_0.2","frac_0.2_0.4","frac_0.4_0.6","frac_0.6_0.8","frac_0.8_1"
"AMP1101","TRUE","(36,60]",4,0.352941176470588,0.456712866928405,0.408469059347355,34,12,0.230966687525855,0.714270824483861,10,1,0,0.5,0.264705882352941,0.235294117647059,0
"AMP1103","TRUE","(36,60]",4,0.166666666666667,0.255778963790894,0.14535748636307,36,6,0.0304553744703009,0.701129225639848,6,0,0.611111111111111,0.0833333333333333,0.194444444444444,0.111111111111111,0
"AMP1104","TRUE","(60,710]",2,0.213114754098361,0.358682123519608,0.335574487914543,61,13,0.108896686030354,0.759555467094843,13,1,0.163934426229508,0.508196721311475,0.163934426229508,0.163934426229508,0
"AMP1105","TRUE","(19,26]",2,0,0.377447939631319,0.375978448981738,13,0,0.305492386481195,0.451984936216709,0,0,0,0.615384615384615,0.384615384615385,0,0
"AMP1107","TRUE","[11,19]",2,0.75,0.62243761247698,0.644714689678775,8,6,0.4269106764711,0.783164775654923,5,0,0,0,0.5,0.5,0
"AMP1109","TRUE","[11,19]",2,1,0.945015708290328,0.95580365755689,10,10,0.872521245439509,0.975638654438402,10,1,0,0,0,0,1
"AMP111","TRUE","(26,36]",5,0.842105263157895,0.661617472006948,0.655216964922213,19,16,0.341847626494883,0.881348347198731,11,1,0,0.0526315789473684,0.368421052631579,0.263157894736842,0.315789473684211
"AMP1111","TRUE","[11,19]",1,1,0.855652317495505,0.857948270439744,5,5,0.827573768755335,0.874864696407302,5,0,0,0,0,0,1
"AMP1112","TRUE","(36,60]",1,0.766666666666667,0.57163665714621,0.579302325965956,30,23,0.418276536532399,0.713564852458101,14,1,0,0,0.566666666666667,0.433333333333333,0
"AMP1114","TRUE","[11,19]",2,1,0.667706135149967,0.650256209455471,4,4,0.62928026939739,0.741031852291537,4,0,0,0,0,1,0
"AMP1116","TRUE","(26,36]",4,0,0.231140791224252,0.232806997532246,21,0,0.134251031627543,0.381207034843908,0,0,0.333333333333333,0.666666666666667,0,0,0
"AMP1117","TRUE","(19,26]",4,0.941176470588235,0.783826474604151,0.863487878059631,17,16,0.462191608211337,0.978810198241031,13,1,0,0,0.235294117647059,0.235294117647059,0.529411764705882
"AMP1120","TRUE","(19,26]",1,0.933333333333333,0.821997586614524,0.928620431946863,15,14,0.42075470947636,0.989532644402009,14,1,0,0,0.266666666666667,0.0666666666666667,0.666666666666667
"AMP1121","TRUE","(19,26]",5,1,0.941515806721692,0.960597556629111,15,15,0.879363888984721,0.988753984274933,15,1,0,0,0,0,1
"AMP1122","TRUE","(26,36]",3,0.777777777777778,0.710559479582518,0.803308315617063,18,14,0.243402126672312,0.906758246272579,14,1,0,0.166666666666667,0.0555555555555556,0.277777777777778,0.5
"AMP1123","TRUE","(19,26]",5,0.9375,0.674139515773165,0.660369779088603,16,15,0.380620278098152,0.841772115092267,14,1,0,0.0625,0.1875,0.4375,0.3125
"AMP1125","TRUE","(19,26]",3,1,0.696644185079944,0.693480597424537,12,12,0.560971072101626,0.847921846272055,12,1,0,0,0.25,0.5,0.25
"AMP1129","TRUE","(19,26]",1,0.230769230769231,0.444100508960069,0.398334941643706,13,3,0.297610912526003,0.716327048347099,3,0,0,0.538461538461538,0.230769230769231,0.230769230769231,0
"AMP113","TRUE","(26,36]",2,0.65,0.535530510109402,0.566387415829874,20,13,0.382814759399438,0.686574071174061,8,0,0,0.05,0.8,0.15,0
"AMP1130","TRUE","(19,26]",5,0,0.1705988594451,0.167860950806653,11,0,0.107263560376608,0.283631864413632,0,0,0.909090909090909,0.0909090909090909,0,0,0
"AMP1131","TRUE","(26,36]",2,0,0.289291676429571,0.285225801273294,26,0,0.104683607208529,0.446567332242951,0,0,0.192307692307692,0.615384615384615,0.192307692307692,0,0
"AMP1132","TRUE","(26,36]",2,0.666666666666667,0.571359162151777,0.561027663543043,21,14,0.386149022794082,0.775705734046181,12,1,0,0.0952380952380952,0.523809523809524,0.380952380952381,0
"AMP1134","TRUE","(26,36]",3,0.952380952380952,0.788225220929281,0.855609323725478,21,20,0.487875942612927,0.969725283511634,16,1,0,0,0.19047619047619,0.19047619047619,0.619047619047619
"AMP1137","TRUE","(26,36]",5,0.391304347826087,0.4850579283532,0.437002491258299,23,9,0.184459487513241,0.731644503092731,8,0,0.0434782608695652,0.217391304347826,0.521739130434783,0.217391304347826,0
"AMP1138","TRUE","(26,36]",2,0.0952380952380952,0.308762661332538,0.286070604265,21,2,0.0798170273946431,0.531637946318022,2,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0
"AMP1139","TRUE","[11,19]",3,0,0.463881273502501,0.46778480510276,3,0,0.447416840879218,0.476442174525524,0,0,0,0,1,0,0
"AMP114","TRUE","(60,710]",3,0.44,0.440972682074069,0.437663354205597,75,33,0.0464943849131382,0.860922942639736,9,0,0.186666666666667,0.226666666666667,0.32,0.226666666666667,0.04
"AMP1140","TRUE","(26,36]",1,1,0.781349519286672,0.744627962859636,21,21,0.538304334760396,0.970946203433046,21,1,0,0,0.0952380952380952,0.523809523809524,0.380952380952381
"AMP1142","TRUE","(19,26]",1,1,0.840126107487055,0.807404900706373,11,11,0.779222046222218,0.945506199630088,11,1,0,0,0,0.363636363636364,0.636363636363636
"AMP1143","TRUE","(26,36]",2,0.85,0.633611615963783,0.667780524389319,20,17,0.416775823039103,0.767127852559548,17,1,0,0,0.3,0.7,0
"AMP1144","TRUE","(36,60]",2,0.2,0.436208543828556,0.389561104707658,35,7,0.273795456192323,0.79256105280275,5,0,0,0.514285714285714,0.342857142857143,0.142857142857143,0
"AMP1146","TRUE","(26,36]",4,0.363636363636364,0.494360454619373,0.484005426341683,22,8,0.306481042301788,0.714137543528138,7,0,0,0.0909090909090909,0.818181818181818,0.0909090909090909,0
"AMP1148","TRUE","(26,36]",4,0.92,0.748759346139147,0.817081764103739,25,23,0.380764906344002,0.89093120003111,15,1,0,0.04,0.2,0.16,0.6
"AMP115","TRUE","[11,19]",1,1,0.715325269989957,0.702133881208555,5,5,0.634617320938486,0.773615889027622,5,0,0,0,0,1,0
"AMP1152","TRUE","[11,19]",2,1,0.673942219978296,0.640949540031664,7,7,0.551246753850534,0.805800403033532,7,0,0,0,0.428571428571429,0.428571428571429,0.142857142857143
"AMP1153","TRUE","(19,26]",4,0.8125,0.75318545243842,0.794594338334427,16,13,0.38204399369515,0.968034761400768,13,1,0,0.0625,0.1875,0.25,0.5
"AMP1155","TRUE","(19,26]",4,1,0.646403677232605,0.624900672669712,17,17,0.516862210481977,0.756206022098693,17,1,0,0,0.235294117647059,0.764705882352941,0
"AMP1158","TRUE","(36,60]",5,0.305555555555556,0.442445186102444,0.414946745557251,36,11,0.118525593785736,0.829448076165663,9,0,0.0833333333333333,0.305555555555556,0.388888888888889,0.194444444444444,0.0277777777777778
"AMP1159","TRUE","(60,710]",5,0.338461538461538,0.412507751285091,0.455621407895412,65,22,0.0912827615042094,0.670188130212309,12,1,0.0923076923076923,0.276923076923077,0.523076923076923,0.107692307692308,0
"AMP1160","TRUE","(36,60]",2,0.142857142857143,0.440521273403812,0.432274069402296,28,4,0.329679636107616,0.656231384741415,4,0,0,0.357142857142857,0.571428571428571,0.0714285714285714,0
"AMP1162","TRUE","(60,710]",4,0.320987654320988,0.423132013043233,0.37359489204101,81,26,0.1229323478192,0.784031503416951,18,1,0.0987654320987654,0.45679012345679,0.197530864197531,0.246913580246914,0
"AMP1163","TRUE","(60,710]",3,0.163120567375887,0.305721028398337,0.260764517286154,141,23,0.0172139120340207,0.826112979624925,8,0,0.361702127659574,0.347517730496454,0.219858156028369,0.0638297872340425,0.00709219858156028
"AMP1164","TRUE","(26,36]",5,0.619047619047619,0.550973360830635,0.543920969820103,21,13,0.350071948221268,0.779991061260441,12,1,0,0.0952380952380952,0.571428571428571,0.333333333333333,0
"AMP1165","TRUE","(19,26]",3,1,0.830228247081526,0.845715273049849,14,14,0.573239255825692,0.969612219562528,14,1,0,0,0.142857142857143,0.357142857142857,0.5
"AMP1168","TRUE","(19,26]",1,0.636363636363636,0.662096855003969,0.738360095316617,11,7,0.2165740907553,0.926880689048839,7,0,0,0.272727272727273,0.0909090909090909,0.181818181818182,0.454545454545455
"AMP1169","TRUE","(19,26]",3,0.75,0.654456162618812,0.729406449714487,12,9,0.220731221901436,0.890753670498171,9,0,0,0.25,0.166666666666667,0.166666666666667,0.416666666666667
"AMP117","TRUE","[11,19]",3,0.4,0.527684358445098,0.469050853373427,5,2,0.391848926347552,0.703078113179675,2,0,0,0.2,0.4,0.4,0
"AMP1170","TRUE","(60,710]",2,0.44,0.413761917011888,0.417534216273677,75,33,0.0188998877803483,0.770036863855107,24,1,0.2,0.28,0.293333333333333,0.226666666666667,0
"AMP1172","TRUE","(26,36]",5,0.4,0.491124546738638,0.446734630582265,25,10,0.227160826551804,0.79451736951239,8,0,0,0.4,0.32,0.28,0
"AMP1173","TRUE","(60,710]",4,0.121428571428571,0.309549909218491,0.29261132531154,140,17,0.0404303950009158,0.602859519924486,4,0,0.285714285714286,0.385714285714286,0.321428571428571,0.00714285714285714,0
"AMP1174","TRUE","(26,36]",4,0.55,0.564920569036831,0.527302416366591,20,11,0.242003519402065,0.861192154743887,10,1,0,0.3,0.25,0.2,0.25
"AMP1175","TRUE","(36,60]",5,0.705882352941177,0.559850113497973,0.587196751973668,34,24,0.389842190797731,0.739220989290129,16,1,0,0.0882352941176471,0.470588235294118,0.441176470588235,0
"AMP1176","TRUE","[11,19]",1,1,0.885265230780575,0.884704528782259,9,9,0.850783470780783,0.915965984963817,9,0,0,0,0,0,1
"AMP1177","TRUE","[11,19]",4,1,0.761306403626687,0.750313111120967,9,9,0.697299303373783,0.8443515180597,9,0,0,0,0,0.666666666666667,0.333333333333333
"AMP1178","TRUE","(26,36]",5,0.625,0.547588019716306,0.572082050982701,24,15,0.0417945804704843,0.739524050657697,8,0,0.0416666666666667,0.125,0.375,0.458333333333333,0
"AMP1183","TRUE","(36,60]",1,0.964285714285714,0.736271755568645,0.775528773773464,28,27,0.484104221481665,0.913314054003018,26,1,0,0,0.142857142857143,0.464285714285714,0.392857142857143
"AMP1184","TRUE","[11,19]",1,1,0.763711881902031,0.806498168974321,10,10,0.517718489928814,0.873023323793408,10,1,0,0,0.2,0.3,0.5
"AMP1185","TRUE","(26,36]",4,0.428571428571429,0.44665198293386,0.494533971480571,21,9,0.109967010519807,0.739165374624749,6,0,0.238095238095238,0.142857142857143,0.285714285714286,0.333333333333333,0
"AMP1186","TRUE","(26,36]",1,0.631578947368421,0.551211209649058,0.586999455613723,19,12,0.314310449679777,0.735757921395969,9,0,0,0.105263157894737,0.473684210526316,0.421052631578947,0
"AMP1187","TRUE","(60,710]",5,0.666666666666667,0.586941973511407,0.659205018317557,60,40,0.0975961102182087,0.932869867420496,24,2,0.133333333333333,0.1,0.2,0.333333333333333,0.233333333333333
"AMP1189","TRUE","(60,710]",1,0.65,0.572270459470448,0.637091885903171,60,39,0.171725966895849,0.911125877141937,24,2,0.0166666666666667,0.233333333333333,0.2,0.433333333333333,0.116666666666667
"AMP119","TRUE","(60,710]",4,0.241758241758242,0.3679399847385,0.335705321873215,182,44,0.107661291149879,0.79897266262759,10,1,0.159340659340659,0.494505494505495,0.203296703296703,0.142857142857143,0
"AMP1196","TRUE","(60,710]",5,0.636363636363636,0.540379451371466,0.607230773154631,66,42,0.0781032059647721,0.914352862265532,23,2,0.136363636363636,0.136363636363636,0.227272727272727,0.393939393939394,0.106060606060606
"AMP1200","TRUE","(36,60]",5,1,0.810376648016527,0.872612632798538,28,28,0.613652322555101,0.918991135615384,28,1,0,0,0,0.428571428571429,0.571428571428571
"AMP1201","TRUE","(26,36]",2,0.636363636363636,0.567697684077366,0.578210130572562,22,14,0.377936653932056,0.859317701045211,10,1,0,0.136363636363636,0.545454545454545,0.272727272727273,0.0454545454545455
"AMP1202","TRUE","(26,36]",2,0.884615384615385,0.784050922989164,0.863259577086049,26,23,0.24942403471762,0.948505224002427,23,1,0,0.0769230769230769,0.115384615384615,0.153846153846154,0.653846153846154
"AMP1205","TRUE","(36,60]",3,0.45,0.471110344698006,0.486680044130834,40,18,0.146971071497477,0.778407683337789,9,0,0.125,0.25,0.3,0.325,0
"AMP1206","TRUE","(36,60]",1,0.827586206896552,0.694777974378347,0.744962991104048,29,24,0.380979434483575,0.864013295714547,24,1,0,0.0344827586206897,0.206896551724138,0.517241379310345,0.241379310344828
"AMP1207","TRUE","(36,60]",4,0.655172413793103,0.572057076680856,0.620580308518641,29,19,0.286925721859036,0.815054276158959,19,1,0,0.310344827586207,0.0344827586206897,0.551724137931034,0.103448275862069
"AMP1208","TRUE","(36,60]",3,0.96551724137931,0.644093522538878,0.638802756081429,29,28,0.491999089162194,0.835943115672433,24,1,0,0,0.448275862068966,0.482758620689655,0.0689655172413793
"AMP121","TRUE","(60,710]",1,0.547619047619048,0.517443174829152,0.550993385818544,84,46,0.10220540603547,0.879988302984414,24,1,0.0714285714285714,0.238095238095238,0.30952380952381,0.285714285714286,0.0952380952380952
"AMP1210","TRUE","(36,60]",2,0.862068965517241,0.630438653663497,0.61908630636596,29,25,0.452820648449582,0.789545438889517,14,2,0,0,0.482758620689655,0.517241379310345,0
"AMP1211","TRUE","(36,60]",3,0.484848484848485,0.521520989928794,0.459979702554083,33,16,0.195145663209994,0.832928491516021,16,1,0.0606060606060606,0.333333333333333,0.121212121212121,0.393939393939394,0.0909090909090909
"AMP1213","TRUE","(36,60]",2,0.392857142857143,0.447555689829053,0.442260069788805,28,11,0.123857926732287,0.686773609049313,8,0,0.0357142857142857,0.392857142857143,0.357142857142857,0.214285714285714,0
"AMP1214","TRUE","(36,60]",1,0.724137931034483,0.579497866185798,0.636352288553286,29,21,0.273058893615347,0.722230252821917,13,1,0,0.172413793103448,0.206896551724138,0.620689655172414,0
"AMP1219","TRUE","(36,60]",5,0.75,0.633497562873631,0.712795159124435,28,21,0.247851923446203,0.791816548888349,21,1,0,0.178571428571429,0.0714285714285714,0.75,0
"AMP1222","TRUE","(36,60]",4,0.514285714285714,0.487111525275983,0.514497428751314,35,18,0.117513363765958,0.82816049068131,18,1,0.114285714285714,0.314285714285714,0.114285714285714,0.4,0.0571428571428571
"AMP1223","TRUE","(36,60]",2,0.733333333333333,0.618983538508997,0.692232327291267,30,22,0.222879972622894,0.830165920474348,22,1,0,0.166666666666667,0.166666666666667,0.6,0.0666666666666667
"AMP1227","TRUE","(36,60]",1,0.588235294117647,0.510320961238633,0.631497060221645,51,30,0.0585215026759803,0.876730681578684,29,1,0.274509803921569,0.0588235294117647,0.137254901960784,0.392156862745098,0.137254901960784
"AMP1229","TRUE","(26,36]",2,0.592592592592593,0.489607936341221,0.58624020971354,27,16,0.147945521765299,0.705032535293171,15,1,0.0740740740740741,0.296296296296296,0.222222222222222,0.407407407407407,0
"AMP1230","TRUE","(36,60]",2,0.896551724137931,0.589584522366482,0.59757270756176,29,26,0.450827919350924,0.763779909903401,18,1,0,0,0.517241379310345,0.482758620689655,0
"AMP1231","TRUE","[11,19]",1,1,0.668952210463212,0.699219660526261,10,10,0.517808643062111,0.747328835652756,10,1,0,0,0.2,0.8,0
"AMP1232","TRUE","[11,19]",1,1,0.925748745695693,0.930281262554603,4,4,0.894464660015111,0.947967797658456,4,0,0,0,0,0,1
"AMP1234","TRUE","(26,36]",2,0.888888888888889,0.776098400395171,0.863071934426743,18,16,0.436206619288342,0.97343807816504,16,1,0,0,0.277777777777778,0.166666666666667,0.555555555555556
"AMP1237","TRUE","[11,19]",1,0,0.317298669969748,0.326720331162726,6,0,0.268615958743068,0.351060867115393,0,0,0,1,0,0,0
"AMP1238","TRUE","[11,19]",1,0,0.247862271176551,0.238841166510538,6,0,0.151944222491851,0.35566411681085,0,0,0.166666666666667,0.833333333333333,0,0,0
"AMP1240","TRUE","(26,36]",2,0.961538461538462,0.797076566335218,0.862970631260465,26,25,0.40235743430463,0.948505224002427,25,1,0,0,0.192307692307692,0.192307692307692,0.615384615384615
"AMP1242","TRUE","(26,36]",1,1,0.831032686923399,0.868097070253953,26,26,0.501730567249717,0.953439152968477,26,1,0,0,0.0769230769230769,0.153846153846154,0.769230769230769
"AMP1244","TRUE","[11,19]",4,0.875,0.807309308357197,0.864308576210396,8,7,0.469200746516763,0.888846282748599,7,0,0,0,0.125,0.125,0.75
